,YelpID,Name,Latitude,Longitude,Address,Rating,Reviews,name_lower,FacilityCategory,BusinessName,FullAddress,AddrNum,StreetName,StreetType,PostDir,City,ZipCode,YearOfInspection,InspectionScore,business_lower
240,E_ih_-ueveTLlyXZVKk2Qg,SotaRol,44.973136,-93.226737,"309 SE Oak St, Minneapolis 55414",3.0,43,sotarol,RESTAURANT,SOTAROL,5005 EWING AVE S,5005.0,EWING,AVE,S,Minneapolis,55410.0,2018,96,sotarol
241,E_ih_-ueveTLlyXZVKk2Qg,SotaRol,44.973136,-93.226737,"309 SE Oak St, Minneapolis 55414",3.0,43,sotarol,RESTAURANT,SOTAROL,309 OAK ST SE,309.0,OAK,ST,SE,Minneapolis,55414.0,2019,100,sotarol
242,fq9jC-Jl55VySyZ66-nN1A,Rusty Taco,44.9892375094369,-93.2524016661412,"522 East Hennepin Ave, Minneapolis 55414",3.5,182,rusty taco,FOOD TRUCK,RUSTY TACO,522 HENNEPIN AVE E,522.0,HENNEPIN,AVE,E,Minneapolis,55414.0,2019,94,rusty taco
243,FQQYzymXakKBmea-1zQAVw,Tap Society,44.91976,-93.28407,"4555 Grand Ave S, Minneapolis 55419",4.0,71,tap society,RESTAURANT,TAP SOCIETY,4555 GRAND AVE S,4555.0,GRAND,AVE,S,Minneapolis,55419.0,2019,94,tap society
244,yuHTZ-cj842gPb-ZSVYdBg,Code Blu Coffee,44.9628949,-93.2336192,"2620 E Franklin Ave, Minneapolis 55406",4.5,39,code blu coffee,RESTAURANT,CODE BLU COFFEE,2620 FRANKLIN AVE E,2620.0,FRANKLIN,AVE,E,Minneapolis,55406.0,2019,100,code blu coffee
245,vA4Tlku2H_eSDyBP0kk9dQ,Cocina Latina,44.93442,-93.27824,"3764 Nicollet Ave, Minneapolis 55409",4.0,83,cocina latina,RESTAURANT,COCINA LATINA,3764 NICOLLET AVE,3764.0,NICOLLET,AVE,,Minneapolis,55409.0,2018,100,cocina latina
246,cmouyztGR94WdpwpIBap2Q,Hamburguesas El Gordo,44.92712,-93.24694,"4157 Cedar Ave S, Minneapolis 55407",3.5,114,hamburguesas el gordo,RESTAURANT,HAMBURGUESAS EL GORDO,4157 CEDAR AVE S,4157.0,CEDAR,AVE,S,Minneapolis,55407.0,2019,94,hamburguesas el gordo
247,RBn8gu7e1JoXjLpFjG3EhA,Morrissey's Irish Pub,44.9482748,-93.2914334,"913 W Lake St, Minneapolis 55408",4.0,108,morrissey's irish pub,RESTAURANT,MORRISSEY'S IRISH PUB,913 LAKE ST W,913.0,LAKE,ST,W,Minneapolis,55408.0,2019,98,morrissey's irish pub
248,xvXWDQWCJSIbvVmJN47NTw,The Bungalow Club,44.9486951565831,-93.2112926892329,"4300 E Lake St, Minneapolis 55406",4.5,48,the bungalow club,RESTAURANT,THE BUNGALOW CLUB,4300 LAKE ST E,4300.0,LAKE,ST,E,Minneapolis,55406.0,2018,96,the bungalow club
249,x9v31m0RnYVBHpQCOASWMg,Segue Coffee,44.9693757788061,-93.2581102929488,"811 11th Ave S, Minneapolis 55404",4.5,34,segue coffee,RESTAURANT,SEGUE COFFEE,811 11TH AVE S,811.0,11TH,AVE,S,Minneapolis,55404.0,2019,96,segue coffee
250,2KrwiBR-ib2tSPnaGLXkMA,Soho Cafe,44.95612,-93.29691,"2532 Hennepin Ave, Minneapolis 55405",4.0,78,soho cafe,RESTAURANT,SOHO CAFE,2532 HENNEPIN AVE,2532.0,HENNEPIN,AVE,,Minneapolis,55405.0,2019,94,soho cafe
